===================================================
FRONT SILHOUETTE PATHS (266 paths)
===================================================
ID: use3484_ref_path2364                | CenterX: -450.43 (range -509.3..-391.6) | CenterY: -116.01 (range -279.7..47.7) | Source: use_group
ID: use3484_ref_path2358                | CenterX: -452.46 (range -513.4..-391.5) | CenterY: -115.65 (range -280.2..48.9) | Source: use_group
ID: use3484_ref_path3511                | CenterX: -419.94 (range -451.7..-388.2) | CenterY: -114.89 (range -280.9..51.1) | Source: use_group
ID: use3484_ref_path2378                | CenterX: -454.43 (range -519.5..-389.4) | CenterY: -113.06 (range -274.4..48.3) | Source: use_group
ID: use3484_ref_path3162                | CenterX: -426.34 (range -464.9..-387.8) | CenterY: -103.34 (range -292.2..85.5) | Source: use_group
ID: use3484_ref_path3075                | CenterX: -428.35 (range -469.6..-387.0) | CenterY: -100.57 (range -302.0..100.8) | Source: use_group
ID: use3484_ref_path3216                | CenterX: -424.87 (range -458.3..-391.4) | CenterY: -97.85 (range -323.2..127.5) | Source: use_group
ID: use3484_ref_path3176                | CenterX: -422.80 (range -459.9..-385.7) | CenterY: -97.58 (range -284.9..89.8) | Source: use_group
ID: use3484_ref_path3022                | CenterX: -424.74 (range -460.7..-388.8) | CenterY: -96.23 (range -292.8..100.3) | Source: use_group
ID: use3484_ref_path3104                | CenterX: -430.12 (range -471.5..-388.7) | CenterY: -93.51 (range -284.6..97.6) | Source: use_group
ID: use3484_ref_path3254                | CenterX: -429.58 (range -470.9..-388.2) | CenterY: -84.24 (range -303.2..134.7) | Source: use_group
ID: use3484_ref_path3196                | CenterX: -428.65 (range -468.9..-388.4) | CenterY: -69.15 (range -286.5..148.2) | Source: use_group
ID: use3484_ref_path3355                | CenterX: -422.36 (range -456.1..-388.6) | CenterY: -45.36 (range -278.6..187.9) | Source: use_group
ID: use3484_ref_path3268                | CenterX: -422.96 (range -457.7..-388.3) | CenterY: -41.57 (range -280.1..196.9) | Source: use_group
ID: use3484_ref_path3322                | CenterX: -422.85 (range -454.5..-391.2) | CenterY: -40.11 (range -276.4..196.2) | Source: use_group
ID: use3484_ref_path3288                | CenterX: -422.41 (range -458.7..-386.1) | CenterY: -38.26 (range -280.4..203.9) | Source: use_group
ID: use3484_ref_path3341                | CenterX: -428.65 (range -466.1..-391.2) | CenterY: -38.00 (range -275.3..199.3) | Source: use_group
ID: use1903                             | CenterX:  24.00 (range -11.2..59.2) | CenterY: 150.17 (range -14.9..315.2) | Source: original
ID: path1152                            | CenterX:  65.66 (range 42.6..88.7) | CenterY: 154.92 (range 31.5..278.4) | Source: original
ID: path1172                            | CenterX:  71.37 (range 40.9..101.9) | CenterY: 155.86 (range 33.1..278.6) | Source: original
ID: path1192                            | CenterX:  69.43 (range 38.4..100.4) | CenterY: 155.87 (range 33.6..278.1) | Source: original
ID: path1202                            | CenterX:  69.65 (range 38.9..100.4) | CenterY: 156.29 (range 33.6..279.0) | Source: original
ID: path1274                            | CenterX:  64.39 (range 41.8..87.0) | CenterY: 156.62 (range 27.7..285.5) | Source: original
ID: path3697                            | CenterX:  60.10 (range 33.0..87.2) | CenterY: 157.01 (range 24.2..289.9) | Source: original
ID: path1245                            | CenterX:  66.68 (range 43.5..89.9) | CenterY: 157.33 (range 30.7..284.0) | Source: original
ID: path1612                            | CenterX:  72.26 (range 42.3..102.2) | CenterY: 157.52 (range 33.1..281.9) | Source: original
ID: path1419                            | CenterX:  67.73 (range 41.6..93.8) | CenterY: 159.90 (range 39.2..280.6) | Source: original
ID: path1447                            | CenterX:  70.20 (range 39.8..100.6) | CenterY: 160.44 (range 33.6..287.3) | Source: original
ID: path1353                            | CenterX:  67.39 (range 31.1..103.7) | CenterY: 161.94 (range 47.1..276.8) | Source: original
ID: path1304                            | CenterX:  67.39 (range 31.1..103.7) | CenterY: 161.94 (range 47.1..276.8) | Source: original
